39.68273138999939   : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
39.72516465187073   : <-Dash    : 10 84 01 | 01
39.799190282821655  : ->FOC     : 20 02 02 | 05 09
39.83092546463013   : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
39.91764450073242   : ->unknown : 70 02 02 | 20 06
40.0651695728302    : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
40.09693694114685   : <-Dash    : 10 84 01 | 01
40.18145966529846   : ->FOC     : 20 02 02 | 05 09
40.204021692276     : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
40.29969239234924   : ->BMS     : 31 02 02 | 2d 0f
40.33182668685913   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 22
40.439367055892944  : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
40.481322050094604  : <-Dash    : 10 84 01 | 01
40.55548024177551   : ->FOC     : 20 02 02 | 05 09
40.58738398551941   : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
40.6825737953186    : ->unknown : 70 02 02 | 20 06
40.823269844055176  : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
40.85495924949646   : <-Dash    : 10 84 01 | 01
40.93795371055603   : ->FOC     : 20 02 02 | 05 09
40.969597578048706  : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
41.05321025848389   : ->BMS     : 31 02 02 | 3c 28
41.09581780433655   : <-BMS     : 31 82 28 | 0e a0 0e a4 0e a0 0e a4 0e a4 0e a0 0e a4 0e a4 0e a6 0e 93 0e a3 0e a8 0e a6 00 00 00 00 00 00 00 00 00 00 00 00 00 00
41.201420307159424  : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
41.23315501213074   : <-Dash    : 10 84 01 | 01
41.31807351112366   : ->FOC     : 20 02 02 | 05 09
41.33927845954895   : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
41.43475341796875   : ->BMS     : 31 02 02 | 02 2b
41.47746777534485   : <-BMS     : 31 82 2b | 14 04 55 55 55 55 01 42 55 4d 39 4c 36 32 53 34 33 35 30 30 35 39 38 2a 29 1d 21 26 10 23 eb 46 3c 37 32 ec f1 01 30 3a 98 01 f2
41.57506442070007   : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
41.60692286491394   : <-Dash    : 10 84 01 | 01
41.69150114059448   : ->FOC     : 20 02 02 | 05 09
41.72650718688965   : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
41.810850381851196  : ->unknown : 70 02 02 | 20 06
41.95964956283569   : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
41.984954833984375  : <-Dash    : 10 84 01 | 01
42.07241940498352   : ->FOC     : 20 02 02 | 05 09
42.103766679763794  : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
42.18802738189697   : ->BMS     : 31 02 02 | 2d 0f
42.21976971626282   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 22
42.33535051345825   : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
42.3567636013031    : <-Dash    : 10 84 01 | 01
42.45188593864441   : ->FOC     : 20 02 02 | 05 09
42.473355293273926  : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 00 00 00 02
42.567959785461426  : ->unknown : 70 02 02 | 20 06
42.70677876472473   : ->Dash    : 10 04 13 | 02 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
42.73845958709717   : <-Dash    : 10 84 01 | 01
42.83345293998718   : ->FOC     : 20 02 02 | 05 09
42.85501432418823   : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 00 00 00 02
