69.54683876037598   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
69.64145731925964   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
69.67338037490845   : <-Dash    : 10 84 01 | 01
69.72573661804199   : ->unknown : 70 02 02 | 20 06
69.83143544197083   : ->FOC     : 20 02 02 | 05 08
69.85241651535034   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
69.94698023796082   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
69.96806383132935   : <-Dash    : 10 84 01 | 01
70.03116822242737   : ->BMS     : 31 02 02 | 2d 0f
70.06219458580017   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
70.13619327545166   : ->FOC     : 20 02 02 | 05 08
70.15731143951416   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
70.25141835212708   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
70.29306983947754   : <-Dash    : 10 84 01 | 01
70.33461332321167   : ->unknown : 70 02 02 | 20 06
70.43934774398804   : ->FOC     : 20 02 02 | 05 08
70.46013283729553   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
70.5525906085968    : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
70.59470081329346   : <-Dash    : 10 84 01 | 01
70.647705078125     : ->BMS     : 31 02 02 | 2d 0f
70.66845464706421   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
70.74182987213135   : ->FOC     : 20 02 02 | 05 08
70.77343082427979   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
70.85763502120972   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
70.89932703971863   : <-Dash    : 10 84 01 | 01
70.95138168334961   : ->unknown : 70 02 02 | 20 06
71.04590964317322   : ->FOC     : 20 02 02 | 05 08
71.07752871513367   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
71.16127109527588   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
71.19334602355957   : <-Dash    : 10 84 01 | 01
71.25681900978088   : ->BMS     : 31 02 02 | 2d 0f
71.27795338630676   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
71.35041809082031   : ->FOC     : 20 02 02 | 05 08
71.38176083564758   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
71.47438311576843   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
71.49519228935242   : <-Dash    : 10 84 01 | 01
71.55745005607605   : ->unknown : 70 02 02 | 20 06
71.66173791885376   : ->FOC     : 20 02 02 | 05 08
71.68289089202881   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
71.77723240852356   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
71.79857802391052   : <-Dash    : 10 84 01 | 01
71.8620252609253    : ->BMS     : 31 02 02 | 2d 0f
71.89371132850647   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
71.96763849258423   : ->FOC     : 20 02 02 | 05 08
71.98838424682617   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
72.08247661590576   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
72.10360169410706   : <-Dash    : 10 84 01 | 01
72.1665666103363    : ->unknown : 70 02 02 | 20 06
72.27164602279663   : ->FOC     : 20 02 02 | 05 08
72.29276871681213   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
72.38748049736023   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
72.4293155670166    : <-Dash    : 10 84 01 | 01
72.47082567214966   : ->BMS     : 31 02 02 | 2d 0f
72.5022943019867    : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
72.5753219127655    : ->FOC     : 20 02 02 | 05 08
72.59632301330566   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
72.68954229354858   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
72.73210096359253   : <-Dash    : 10 84 01 | 01
72.77388310432434   : ->unknown : 70 02 02 | 20 06
72.87915682792664   : ->FOC     : 20 02 02 | 05 08
72.90053582191467   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
72.9944097995758    : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
73.02630758285522   : <-Dash    : 10 84 01 | 01
73.0788197517395    : ->BMS     : 31 02 02 | 2d 0f
73.11074042320251   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
73.18404150009155   : ->FOC     : 20 02 02 | 05 08
73.20538210868835   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
73.30005240440369   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
73.33167672157288   : <-Dash    : 10 84 01 | 01
73.38441443443298   : ->unknown : 70 02 02 | 20 06
73.488765001297     : ->FOC     : 20 02 02 | 05 08
73.50965714454651   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
73.60306406021118   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
73.6346824169159    : <-Dash    : 10 84 01 | 01
73.69775438308716   : ->BMS     : 31 02 02 | 2d 0f
73.71867156028748   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
73.79138946533203   : ->FOC     : 20 02 02 | 05 08
73.82296133041382   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
73.90683317184448   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
73.95942282676697   : <-Dash    : 10 84 01 | 01
74.00157880783081   : ->unknown : 70 02 02 | 20 06
74.09592890739441   : ->FOC     : 20 02 02 | 05 08
74.12727808952332   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
74.21133852005005   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
74.2538001537323    : <-Dash    : 10 84 01 | 01
74.30652236938477   : ->BMS     : 31 02 02 | 2d 0f
74.32762360572815   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
74.40119624137878   : ->FOC     : 20 02 02 | 05 08
74.43271088600159   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
74.52524065971375   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
74.5564866065979    : <-Dash    : 10 84 01 | 01
74.60854887962341   : ->unknown : 70 02 02 | 20 06
74.71273946762085   : ->FOC     : 20 02 02 | 05 08
74.73381614685059   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
74.82646298408508   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
74.85776734352112   : <-Dash    : 10 84 01 | 01
74.9104950428009    : ->BMS     : 31 02 02 | 2d 0f
74.94220781326294   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
75.01581454277039   : ->FOC     : 20 02 02 | 05 08
75.03719115257263   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
75.13158917427063   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
75.16332817077637   : <-Dash    : 10 84 01 | 01
75.21540093421936   : ->unknown : 70 02 02 | 20 06
75.3211920261383    : ->FOC     : 20 02 02 | 05 08
75.34223771095276   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
75.43699407577515   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
75.45809626579285   : <-Dash    : 10 84 01 | 01
75.52073979377747   : ->BMS     : 31 02 02 | 2d 0f
75.55272126197815   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
75.62607550621033   : ->FOC     : 20 02 02 | 05 08
75.64730167388916   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
75.74069857597351   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
75.76180601119995   : <-Dash    : 10 84 01 | 01
