37.454959869384766  : ->Dash    : 10 04 0f | 06 20 02 00 2a 53 00 00 00 00 64 00 cc cc 00
37.49738430976868   : <-Dash    : 10 84 01 | 01
37.58211922645569   : ->FOC     : 20 02 02 | 05 08
37.603461027145386  : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
37.7013373374939    : ->BMS     : 31 02 02 | 2d 0f
37.722543239593506  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
37.82931709289551   : ->Dash    : 10 04 0f | 06 20 02 00 2a 53 00 00 00 00 64 00 cc cc 00
37.87187957763672   : <-Dash    : 10 84 01 | 01
37.95287013053894   : ->FOC     : 20 02 02 | 05 08
37.974263429641724  : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
38.07524085044861   : ->unknown : 70 02 02 | 20 06
38.209516525268555  : ->Dash    : 10 04 0f | 06 20 02 00 2a 53 00 00 00 00 64 00 cc cc 00
38.24586510658264   : <-Dash    : 10 84 01 | 01
38.32418656349182   : ->FOC     : 20 02 02 | 05 08
38.3463454246521    : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
38.45028901100159   : ->BMS     : 31 02 02 | 3c 28
38.48205757141113   : <-BMS     : 31 82 28 | 10 09 10 0c 10 09 10 0f 10 0c 10 0a 10 0f 10 11 10 0d 0f f7 10 0d 10 12 10 12 00 00 00 00 00 00 00 00 00 00 00 00 00 00
38.579549074172974  : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 64 00 cc cc 00
38.62186360359192   : <-Dash    : 10 84 01 | 01
38.696441650390625  : ->FOC     : 20 02 02 | 05 08
38.728256702423096  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
38.81660342216492   : ->BMS     : 31 02 02 | 02 2b
38.85909104347229   : <-BMS     : 31 82 2b | 14 04 55 55 55 55 01 42 55 4d 39 4c 36 32 53 34 33 35 30 30 35 39 38 2a 29 1d 21 26 10 23 eb 46 3c 37 32 ec f1 01 30 3a 98 01 f6
38.95603942871094   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 64 00 cc cc 00
38.97779440879822   : <-Dash    : 10 84 01 | 01
39.07317590713501   : ->FOC     : 20 02 02 | 05 08
39.09424376487732   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
39.1955840587616    : ->unknown : 70 02 02 | 20 06
39.333441495895386  : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 64 00 cc cc 00
39.35511302947998   : <-Dash    : 10 84 01 | 01
39.450812101364136  : ->FOC     : 20 02 02 | 05 08
39.474645137786865  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
39.56553077697754   : ->BMS     : 31 02 02 | 2d 0f
39.59410905838013   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
39.700424909591675  : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 64 00 cc cc 00
39.73232960700989   : <-Dash    : 10 84 01 | 01
39.81677007675171   : ->FOC     : 20 02 02 | 05 08
39.84987545013428   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
39.941991090774536  : ->unknown : 70 02 02 | 20 06
40.079039335250854  : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 64 00 cc cc 00
40.11101055145264   : <-Dash    : 10 84 01 | 01
40.19542217254639   : ->FOC     : 20 02 02 | 05 08
40.22734808921814   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
40.322918176651     : ->BMS     : 31 02 02 | 3c 28
40.36149072647095   : <-BMS     : 31 82 28 | 10 09 10 0c 10 0a 10 0c 10 0d 10 09 10 0f 10 0f 10 0d 0f f8 10 0d 10 11 10 12 00 00 00 00 00 00 00 00 00 00 00 00 00 00
40.447269678115845  : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 64 00 cc cc 00
40.47866916656494   : <-Dash    : 10 84 01 | 01
40.57249140739441   : ->FOC     : 20 02 02 | 05 08
40.593883752822876  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
40.685203552246094  : ->BMS     : 31 02 02 | 02 2b
40.72862720489502   : <-BMS     : 31 82 2b | 14 04 55 55 55 55 01 42 55 4d 39 4c 36 32 53 34 33 35 30 30 35 39 38 2a 29 1d 21 26 10 23 eb 46 3c 37 32 ec f1 01 30 3a 98 01 f6
