19.97142744064331   : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
19.992770433425903  : <-Dash    : 10 84 01 | 01
20.01447558403015   : ->FOC     : 20 01 01 | 03
20.047074556350708  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
20.068360328674316  : ->FOC     : 20 05 02 | 1c 86
20.190770864486694  : ->BMS     : 31 02 02 | 2d 0f
20.31972646713257   : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
20.34111499786377   : <-Dash    : 10 84 01 | 01
20.372586488723755  : ->FOC     : 20 01 01 | 03
20.393700122833252  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
20.426143884658813  : ->FOC     : 20 05 02 | 1c 86
20.54357933998108   : ->BMS     : 31 02 02 | 2d 0f
20.676275730133057  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
20.694100379943848  : <-Dash    : 10 84 01 | 01
20.726112842559814  : ->FOC     : 20 01 01 | 03
20.74783992767334   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
20.77907133102417   : ->FOC     : 20 05 02 | 1c 86
20.891096591949463  : ->BMS     : 31 02 02 | 2d 0f
21.024863958358765  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
21.046433925628662  : <-Dash    : 10 84 01 | 01
21.07801389694214   : ->FOC     : 20 01 01 | 03
21.099292993545532  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
21.13170289993286   : ->FOC     : 20 05 02 | 1c 86
21.242820739746094  : ->BMS     : 31 02 02 | 2d 0f
21.378424406051636  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
21.400041818618774  : <-Dash    : 10 84 01 | 01
21.432073831558228  : ->FOC     : 20 01 01 | 03
21.453107595443726  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
21.48479461669922   : ->FOC     : 20 05 02 | 1c 86
21.59652328491211   : ->BMS     : 31 02 02 | 2d 0f
21.730695247650146  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
21.752055644989014  : <-Dash    : 10 84 01 | 01
21.783323287963867  : ->FOC     : 20 01 01 | 03
21.80507802963257   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
21.836952447891235  : ->FOC     : 20 05 02 | 1c 86
21.94898247718811   : ->BMS     : 31 02 02 | 2d 0f
22.08691668510437   : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
22.10811424255371   : <-Dash    : 10 84 01 | 01
22.129899501800537  : ->FOC     : 20 01 01 | 03
22.16119623184204   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
22.193405151367188  : ->FOC     : 20 05 02 | 1c 86
22.31025743484497   : ->BMS     : 31 02 02 | 2d 0f
22.436981678009033  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
22.45865511894226   : <-Dash    : 10 84 01 | 01
22.480412483215332  : ->FOC     : 20 01 01 | 03
22.512725353240967  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
22.544458627700806  : ->FOC     : 20 05 02 | 1c 86
