30.4516179561615    : ->FOC     : 20 01 01 | 03
39.18088412284851   : ->FOC     : 20 02 02 | 05 08
39.20229530334473   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
39.29782962799072   : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
39.309279680252075  : <-Dash    : 10 84 01 | ce
39.37652397155762   : ->BMS     : 31 02 02 | 2d 0f
39.40854811668396   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
39.4825975894928    : ->FOC     : 20 02 02 | 05 08
39.50400924682617   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
39.59115505218506   : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
39.60191345214844   : <-Dash    : 10 84 01 | ce
39.67607665061951   : ->BMS     : 31 02 02 | 2d 0f
39.7080237865448    : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
39.78214979171753   : ->FOC     : 20 02 02 | 05 08
39.80377769470215   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
39.89102244377136   : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
39.9018018245697    : <-Dash    : 10 84 01 | ce
39.97622609138489   : ->BMS     : 31 02 02 | 2d 0f
40.008182764053345  : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
40.075591802597046  : ->FOC     : 20 02 02 | 05 08
40.10730838775635   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
40.192339181900024  : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
40.20313119888306   : <-Dash    : 10 84 01 | ce
40.277530670166016  : ->BMS     : 31 02 02 | 2d 0f
40.309075593948364  : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
40.383692502975464  : ->FOC     : 20 02 02 | 05 08
40.40497350692749   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
40.49133634567261   : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
40.502113580703735  : <-Dash    : 10 84 01 | ce
40.58695125579834   : ->BMS     : 31 02 02 | 2d 0f
40.608800649642944  : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
40.68243145942688   : ->FOC     : 20 02 02 | 05 08
40.70380997657776   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
40.8015775680542    : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
40.81250190734863   : <-Dash    : 10 84 01 | ce
40.887035608291626  : ->BMS     : 31 02 02 | 2d 0f
40.90876793861389   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
40.9826078414917    : ->FOC     : 20 02 02 | 05 08
41.003814697265625  : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
41.10303807258606   : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
41.113906145095825  : <-Dash    : 10 84 01 | ce
41.1888542175293    : ->BMS     : 31 02 02 | 2d 0f
41.20977997779846   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
41.288246154785156  : ->FOC     : 20 02 02 | 05 08
41.30939483642578   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
41.40463662147522   : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
41.41542434692383   : <-Dash    : 10 84 01 | ce
41.489163637161255  : ->BMS     : 31 02 02 | 2d 0f
41.5103223323822    : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
41.58397674560547   : ->FOC     : 20 02 02 | 05 08
41.60596823692322   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
41.701268911361694  : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
41.712563037872314  : <-Dash    : 10 84 01 | ce
41.789433002471924  : ->BMS     : 31 02 02 | 2d 0f
41.821083307266235  : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
41.88444232940674   : ->FOC     : 20 02 02 | 05 08
41.905670404434204  : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
41.99990725517273   : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
