56.49766826629639   : <-Dash    : 10 84 01 | 01
56.586145639419556  : ->FOC     : 20 02 02 | 05 08
56.60771942138672   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
56.70066452026367   : ->unknown : 70 02 02 | 20 06
56.832860708236694  : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
56.87616157531738   : <-Dash    : 10 84 01 | 01
56.950425148010254  : ->FOC     : 20 06 01 | 11
56.961262464523315  : <-FOC     : 20 86 00 | 
57.078760862350464  : ->FOC     : 20 02 02 | 05 08
57.100407123565674  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
57.20149827003479   : ->BMS     : 31 02 02 | 3c 28
57.3333580493927    : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
57.35494422912598   : <-Dash    : 10 84 01 | 01
