18.470699071884155  : ->BMS     : 31 02 02 | 2d 0f
18.503631114959717  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
18.553319931030273  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
18.574690341949463  : <-Dash    : 10 84 01 | 01
18.61743140220642   : ->FOC     : 20 02 02 | 05 08
18.649384260177612  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
18.673071146011353  : ->BMS     : 31 02 02 | 2d 0f
18.70536780357361   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
18.752988815307617  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
18.774563789367676  : <-Dash    : 10 84 01 | 01
18.827816247940063  : ->FOC     : 20 02 02 | 05 08
18.849324464797974  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
18.870806217193604  : ->BMS     : 31 02 02 | 2d 0f
18.90276575088501   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
18.952942848205566  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
18.974018335342407  : <-Dash    : 10 84 01 | 01
19.01748752593994   : ->FOC     : 20 02 02 | 05 08
19.049682140350342  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
19.07147240638733   : ->BMS     : 31 02 02 | 2d 0f
19.103296995162964  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
19.152716398239136  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
19.17762804031372   : <-Dash    : 10 84 01 | 01
19.21980047225952   : ->FOC     : 20 02 02 | 05 08
19.244576930999756  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
19.27591300010681   : ->BMS     : 31 02 02 | 2d 0f
19.297385215759277  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
19.33993101119995   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
19.382858753204346  : <-Dash    : 10 84 01 | 01
19.41902470588684   : ->FOC     : 20 02 02 | 05 08
19.451688766479492  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
19.474520921707153  : ->BMS     : 31 02 02 | 2d 0f
19.507241010665894  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
19.549803018569946  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
19.585999011993408  : <-Dash    : 10 84 01 | 01
19.61829137802124   : ->FOC     : 20 02 02 | 05 08
19.646300077438354  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
19.67867350578308   : ->BMS     : 31 02 02 | 2d 0f
19.70024800300598   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
19.7431583404541    : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
19.785303115844727  : <-Dash    : 10 84 01 | 01
19.824212551116943  : ->FOC     : 20 02 02 | 05 08
